Data Source,Term,Description,XPath of Relevant Node in Message Schema,XPath UCI Type,Python Path to Field,Protobuf Message Fields,Protobuf/ZMQ Generated Datatype,Protobuf/ZMQ Generated Units,OpenAPI Swagger Datatype,Cassandra Table,Cassandra Field,Cassandra Datatype,Cassandra Units,Default Values
Generated,Military View,Object containing disposition and nationality.,-,-,-,-,object,-,list<string($enum)>,Eob,mil_view,text,-,mil_view
Generated,Disposition,"Affiliation such as FRIENDLY, NEUTRAL, or HOSTILE.",-,-,-,-,string,-,string($enum),Eob,disposition,text,-,disposition
Generated,Nationality,Country where ENTITY is from.,-,-,-,-,string,-,string($enum),Eob,nationality,text,-,nationality
Generated,Write Timestamp,Timestamp when the data was written.,-,-,-,-,uint64,epoch unix - ns,integer($utc),Eob,write_timestamp,bigint,epoch unix - ns,Required by Source & Table
Generated,Initial Timestamp,Initial timestamp of the detected signal from the ENTITY.,-,-,-,-,uint64,epoch unix - ns,integer($utc),Eob,initial_timestamp,bigint,epoch unix - ns,int(now)
Generated,Latest Timestamp,Latest timestamp of the last detected signal from the ENTITY.,-,-,-,-,uint64,epoch unix - ns,integer($utc),Eob,latest_timestamp,bigint,epoch unix - ns,int(now)
Generated,Position,"Object containing latitude, longitude, and altitude. Physical location in geospatial coordinates.",-,-,-,-,object,-,list<number($float)>,Eob,position,text,-,-
Generated,Latitude,"Latitude of the entity (radians).  Populated by the system if geolocation was performed, or if a-priori position was provided by the MDF.",-,-,-,-,double,radians,number($float),Eob,latitude,float,radians,0
Generated,Longitude,"Longitude of the entity (radians).  Populated by the system if geolocation was performed, or if a-priori position was provided by the MDF.",-,-,-,-,double,radians,number($float),Eob,longitude,float,radians,0
Generated,Altitude,"Altitude of the entity.  Populated by the system if geolocation was performed, or if a-priori position was provided by the MDF.",-,-,-,-,double,meters,number($float),Eob,altitude,float,meters,0
Generated,Type,"Type of object/entity such as AIRCRAFT, VESSEL, EMITTER, ENTITY, SIGNAL, PAYLOAD",-,-,-,-,string,-,string,Eob,entity_type,text,-,Required by Source & Table
Generated,Primary Designator,Name assigned to ENTITY after a payload does an MDF lookup if applicable. ,-,-,-,-,string,-,string,Eob,primary_designator,text,-,primary_designator
Generated,Secondary Designator,Name assigned to ENTITY after a payload does an MDF lookup if applicable. ,-,-,-,-,string,-,string,Eob,secondary_designator,text,-,secondary_designator
Generated,ELNOT,Five letter abbreviation of an ENTITY.,-,-,-,-,string,-,string,Eob,elnot,text,-,e_l_n_o_t
Generated,Detection Range,"Distance within which a system can identify or detect an object, signal, or entity. ",-,-,-,-,object,nautical miles,list<number($float)>,Eob,detection_range,text,-,"[0.0,0.0]"
Generated,Minimum Detection Radius ,Shortest distance from the detection system it can reliably detect an ENTITY.,-,-,-,-,double,nautical miles,number($float),Eob,detection_min_radius,float,nautical miles,0
Generated,Maximum Detection Radius ,Farthest distance from the detection system it can reliably detect an ENTITY.,-,-,-,-,double,nautical miles,number($float),Eob,detection_max_radius,float,nautical miles,0
Generated,MMSI,Maritime Mobile Service Identity of vessel.,-,-,-,-,,,,AISVessels,mnsi,int,-,0
Generated,Name,Name of vessel.,-,-,-,-,,,,AISVessels,name,text,-,nulll
Generated,Write Timestamp,Timestamp where the data was written.,-,-,-,-,,,,AISVessels,write_timestamp,bigint,milliseconds,0
Generated,Country,Country of vessel.,-,-,-,-,,,,AISVessels,country,text,-,
Generated,Latitude,Latitude of vessel in degrees.,-,-,-,-,,,,AISVessels,latitude,float,degrees,0
Generated,Longitude,Longitude of vessel in degrees.,-,-,-,-,,,,AISVessels,longitude,float,degrees,0
Generated,Heading,Heading of vessel in degrees.,-,-,-,-,,,,AISVessels,heading,float,degrees,0
Generated,Speed,Speed of vessel in nm/s,-,-,-,-,,,,AISVessels,speed,float,nautical miles per second,0
